channel_username,channel_title,channel_id,date,unique_posters,total_messages,est_percentage_of_questions,posters_pie_chart
singularitynet,SingularityNET Community,98,2018-11-07,9,27,0.1481,"{""569843524"": 0.0741, ""482678213"": 0.1481, ""239414378"": 0.0741, ""662072108"": 0.037, ""468006033"": 0.0741, ""466548818"": 0.037, ""502742579"": 0.0741, ""468187771"": 0.2593, ""180358175"": 0.2222}"
vechain_official_english,VeChain Official (Eng),99,2018-11-07,21,81,0.1852,"{""461353728"": 0.0247, ""741484679"": 0.0123, ""210944655"": 0.0864, ""450942096"": 0.0247, ""185706774"": 0.0247, ""197072034"": 0.0494, ""407841196"": 0.1975, ""472359597"": 0.0123, ""528873648"": 0.0123, ""500743624"": 0.0123, ""408561616"": 0.0123, ""455642580"": 0.0494, ""488657638"": 0.1111, ""512674411"": 0.0123, ""522164972"": 0.1235, ""584327918"": 0.1358, ""478482162"": 0.037, ""523732857"": 0.0123, ""494015997"": 0.0123, ""493168766"": 0.0247, ""609312383"": 0.0123}"
pchain_org,PCHAIN1️⃣,101,2018-11-07,4,10,0.0,"{""600952885"": 0.1, ""599202013"": 0.4, ""542864438"": 0.4, ""774344109"": 0.1}"
powerledger,Official Power Ledger Telegram,102,2018-11-07,2,2,0.0,"{""380990073"": 0.5, ""558582878"": 0.5}"
elastosgroup,Elastos Community,103,2018-11-07,16,33,0.2121,"{""587269760"": 0.0606, ""339894499"": 0.0909, ""519283107"": 0.0303, ""515617414"": 0.0303, ""305855240"": 0.2424, ""481387724"": 0.0303, ""355876014"": 0.0303, ""420714095"": 0.0303, ""543059441"": 0.0606, ""616857010"": 0.0303, ""692194037"": 0.0303, ""530704857"": 0.1212, ""494980955"": 0.0606, ""519705853"": 0.0303, ""582256062"": 0.0303, ""439880991"": 0.0909}"
potcoin420,PotCoin,104,2018-11-07,2,5,0.0,"{""537879341"": 0.2, ""303964413"": 0.8}"
sirinlabs,SIRIN LABS (OFFICIAL),108,2018-11-07,21,78,0.2051,"{""433394819"": 0.0128, ""438629252"": 0.0385, ""637551634"": 0.0385, ""359983251"": 0.3333, ""400391059"": 0.1923, ""545461140"": 0.0385, ""533059361"": 0.0128, ""641697833"": 0.0128, ""774344109"": 0.0128, ""199073470"": 0.0128, ""695037252"": 0.0128, ""471560391"": 0.0256, ""635136221"": 0.0128, ""314893931"": 0.0128, ""452805740"": 0.0128, ""723028333"": 0.0128, ""369417326"": 0.0128, ""661274868"": 0.0128, ""399543285"": 0.0128, ""438427766"": 0.0128, ""640803960"": 0.1538}"
stx_coin,STOX,109,2018-11-07,1,1,0.0,"{""614177893"": 1.0}"
LockTrip,LockTrip (LOC Token) - Official Group,110,2018-11-07,16,52,0.1538,"{""441737568"": 0.0577, ""731698817"": 0.1154, ""489796866"": 0.0192, ""359889288"": 0.0769, ""502330795"": 0.1154, ""569673259"": 0.0577, ""424091469"": 0.0192, ""417241901"": 0.0769, ""210944655"": 0.0385, ""326082684"": 0.1154, ""774344109"": 0.0192, ""661274868"": 0.0192, ""451609719"": 0.0385, ""351210936"": 0.1731, ""464598620"": 0.0385, ""635136221"": 0.0192}"
ViberateOfficial,Viberate,112,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
officialios,IOST Official International Group,4208,2018-11-07,10,46,0.0435,"{""608649249"": 0.0217, ""695084100"": 0.0217, ""451641447"": 0.0217, ""789294411"": 0.3913, ""538463628"": 0.0217, ""774344109"": 0.0217, ""432689809"": 0.413, ""661274868"": 0.0217, ""538711125"": 0.0217, ""549116439"": 0.0435}"
